fps,ep_len_mean,n_updates,value_loss,policy_loss,clipfrac,total_timesteps,explained_variance,approxkl,time_elapsed,serial_timesteps,policy_entropy,ep_reward_mean
575,834.0,1,0.015555917,-7.745193e-05,0.036100004,50000,-0.1555570363998413,0.004217967,0.04699516296386719,10000,12.768798,-0.0002074363636363636
810,834.0,2,0.0154478215,-0.0010365993,0.066589996,100000,-0.14177072048187256,0.0054371837,86.94720005989075,20000,12.7631445,0.06519106999999999
696,834.0,3,0.009536037,-0.0008707811,0.034235,150000,-0.13279950618743896,0.0035645147,148.6431999206543,30000,12.757113,0.06613286
820,834.0,4,0.0072338027,-0.00090943126,0.03802,200000,-0.11065256595611572,0.0038280669,220.42600893974304,40000,12.757108,0.06856467999999999
817,834.0,5,0.0057493495,-0.0009641809,0.040115003,250000,-0.02485358715057373,0.0039139264,281.36400723457336,50000,12.758616,0.015600630000000004
712,834.0,6,0.0037515177,-0.0010571473,0.040109996,300000,0.13297778367996216,0.0039828653,342.536009311676,60000,12.751408,-0.00033305999999999993
808,834.0,7,0.002916962,-0.0009287488,0.037794996,350000,0.2527680993080139,0.00405602,412.75900983810425,70000,12.742687,0.11768203999999999
750,834.0,8,0.0027394406,-0.0015611993,0.069285,400000,0.41412103176116943,0.005657748,474.58300828933716,80000,12.728974,0.24828223000000002
777,834.0,9,0.0016427517,-0.0017115077,0.07137,450000,0.5707519352436066,0.005804771,541.2240087985992,90000,12.718228,0.26171092
630,834.0,10,0.0010584781,-0.0016669196,0.062825,500000,0.7397118806838989,0.005502819,605.5308511257172,100000,12.706138,0.13946147
773,834.0,11,0.00088896084,-0.0017606607,0.084455,550000,0.681309849023819,0.006493449,684.8574080467224,110000,12.692975,0.12710929
783,834.0,12,0.00022394051,-0.0037708236,0.09463,600000,0.8944859057664871,0.007053216,749.5339767932892,120000,12.688454,0.13082786000000005
799,834.0,13,0.00040190003,-0.001931754,0.073245004,650000,0.7301791906356812,0.005776948,813.3344993591309,130000,12.677115,0.09301728999999996
790,834.0,14,0.00025393112,-0.0016280797,0.060725007,700000,0.8025735914707184,0.0052646715,875.9066162109375,140000,12.66437,0.08498853
784,834.0,15,0.00012207001,-0.002611789,0.069874994,750000,0.9161252304911613,0.00565444,939.1565234661102,150000,12.653498,0.05910882999999998
775,834.0,16,0.00022429321,-0.0010255135,0.036505,800000,0.8047374337911606,0.003970396,1002.8848631381989,160000,12.639464,0.06290681
802,834.0,17,0.00013918318,-0.0014040668,0.045030005,850000,0.8681810349225998,0.004452496,1067.3299825191498,170000,12.627184,0.09356426
809,834.0,18,0.00022934414,-0.00092907494,0.03515,900000,0.7425725162029266,0.0040437616,1129.6658539772034,180000,12.620156,0.13278524
818,834.0,19,0.00011392718,-0.0012621086,0.045609996,950000,0.8981893733143806,0.004338217,1191.449354171753,190000,12.620259,0.13245975999999998
621,834.0,20,7.5412405e-05,-0.0011622675,0.031865,1000000,0.9306867569684982,0.0037676028,1252.5618364810944,200000,12.616325,0.04277582000000001
817,834.0,21,0.000120446566,-0.0004667829,0.024029998,1050000,0.8385040611028671,0.0033448967,1332.9700074195862,210000,12.610798,0.06110646
796,834.0,22,9.09278e-05,-0.00061380974,0.022775,1100000,0.9408781602978706,0.0030747494,1394.1406781673431,220000,12.603451,0.06213902000000001
810,834.0,23,8.492146e-05,-0.00063073385,0.048244998,1150000,0.9377352073788643,0.0046727965,1456.963270187378,230000,12.591353,0.0040443200000000006
819,834.0,24,6.74272e-05,-0.0010879666,0.036500003,1200000,0.9083326980471611,0.004116979,1518.6554622650146,240000,12.579255,0.020135910000000007
815,834.0,25,3.3641503e-05,-0.00043873707,0.014115,1250000,0.9039625525474548,0.0028338998,1579.67493724823,250000,12.568935,0.030641810000000005
822,834.0,26,1.9109846e-05,-0.0017685781,0.050054997,1300000,0.9075042605400085,0.0045733317,1640.9847347736359,260000,12.559421,0.010057850000000002
827,834.0,27,1.423089e-05,-0.00083892775,0.03185,1350000,0.9002289548516273,0.0038445732,1701.7966711521149,270000,12.554896,-0.00179565
809,834.0,28,1.8982326e-05,-0.00047760046,0.018974999,1400000,0.809966653585434,0.0032513181,1762.232316493988,280000,12.549921,0.017660650000000003
787,834.0,29,2.2845843e-05,-0.00046640314,0.029630002,1450000,0.762501448392868,0.0034158423,1824.0321917533875,290000,12.542936,0.03990308000000001
650,834.0,30,8.299086e-06,-0.0018095436,0.038345,1500000,0.8655337989330292,0.004137573,1887.5484404563904,300000,12.530051,0.0014187599999999994
812,834.0,31,7.714119e-06,-0.0016047606,0.043100003,1550000,0.8574302494525909,0.004384525,1964.4090192317963,310000,12.518322,0.00879727
821,834.0,32,1.43076e-05,-0.0010008526,0.037955,1600000,0.7357310354709625,0.004053438,2025.932104587555,320000,12.510606,0.011821040000000003
836,834.0,33,1.0323475e-05,-0.0011767618,0.022044998,1650000,0.7800194323062897,0.003064419,2086.8222284317017,330000,12.506048,0.013350419999999998
827,834.0,34,1.3034083e-05,-0.0008975332,0.023654997,1700000,0.7053648233413696,0.0033018473,2146.60906124115,340000,12.497511,0.024605539999999995
844,834.0,35,5.985884e-06,-0.001458209,0.02945,1750000,0.8248192667961121,0.0036061767,2207.0262265205383,350000,12.489853,-0.0018265399999999998
841,834.0,36,6.557747e-06,-0.0012980239,0.033040002,1800000,0.8393476605415344,0.004051638,2266.255789756775,360000,12.482126,-0.00183317
819,834.0,37,5.5082187e-06,-0.0020137082,0.062464997,1850000,0.7041128575801849,0.005322336,2325.679041862488,370000,12.47117,0.0003846200000000001
837,834.0,38,7.099582e-06,-0.00157975,0.04383,1900000,0.7458130419254303,0.004230589,2386.6852774620056,380000,12.453962,0.0003964299999999999
828,834.0,39,9.6442145e-06,-0.00076169055,0.019425003,1950000,0.7529295086860657,0.003030275,2446.3530554771423,390000,12.438562,-0.00177328
645,834.0,40,6.002395e-06,-0.0010689269,0.030534998,2000000,0.6657356023788452,0.0038540522,2506.736837387085,400000,12.434329,-0.0017992300000000002
829,834.0,41,6.763643e-06,-0.0016289819,0.044340003,2050000,0.6413231790065765,0.0042641326,2584.2291107177734,410000,12.425698,-0.0018793900000000003
829,834.0,42,4.6537275e-06,-0.0011959254,0.01512,2100000,0.6243144869804382,0.0027834594,2644.4760026931763,420000,12.416378,-0.0019194799999999999
819,834.0,43,4.7130543e-06,-0.0013209466,0.02348,2150000,0.6840817928314209,0.0032863475,2704.7354707717896,430000,12.403999,-0.0018878499999999997
