n_updates,time_elapsed,approxkl,policy_entropy,ep_len_mean,value_loss,explained_variance,serial_timesteps,fps,ep_reward_mean,policy_loss,total_timesteps,clipfrac
1,0.001995086669921875,0.0051330603,12.769622,834.0,0.0154346125,-0.14182209968566895,10000,593,0.11855979999999999,-0.00048675257,50000,0.053480003
2,84.29514527320862,0.004150231,12.766581,834.0,0.013591492,-0.15777528285980225,20000,758,0.017745889999999997,-0.00033989083,100000,0.035915
3,150.198734998703,0.003851104,12.762223,834.0,0.013559539,-0.13422298431396484,30000,644,0.00916542,-0.00081574457,150000,0.043305002
4,227.8089325428009,0.0041556926,12.758979,834.0,0.0064064,-0.13031160831451416,40000,670,-0.00014008000000000005,-0.0010114606,200000,0.045434996
5,302.42804288864136,0.0040376736,12.755259,834.0,0.0054045822,-0.030867695808410645,50000,636,0.04158773,-0.000923783,250000,0.040639997
6,380.962753534317,0.0046962,12.750196,834.0,0.0042725974,0.06613445281982422,60000,549,0.04205977000000001,-0.0009500596,300000,0.051735
7,471.87713098526,0.005554914,12.744193,834.0,0.0034766267,0.27560269832611084,70000,601,0.10552442,-0.0016034875,350000,0.06817001
8,554.96391248703,0.004672283,12.733199,834.0,0.0035585503,0.39873093366622925,80000,650,0.18631222,-0.0011399019,400000,0.05145
9,631.7720527648926,0.005630711,12.719582,834.0,0.0023388343,0.5236547887325287,90000,704,0.14004571,-0.001793813,450000,0.06842
10,702.7078132629395,0.004454545,12.709894,834.0,0.002619494,0.518570750951767,100000,513,0.15732258,-0.0010589613,500000,0.047249995
11,800.0141484737396,0.0036023222,12.704834,834.0,0.0025557869,0.600515604019165,110000,663,0.37526851,-0.0008046828,550000,0.03085
12,875.3224625587463,0.005934497,12.6997595,834.0,0.002030158,0.7065800130367279,120000,710,0.3757430599999999,-0.0019449284,600000,0.074669994
13,945.6958608627319,0.0071883877,12.690946,834.0,0.0013035241,0.8317869752645493,130000,717,0.25817575000000004,-0.002780946,650000,0.096540004
14,1015.4044454097748,0.0050868774,12.682914,834.0,0.0009096436,0.8135057538747787,140000,671,0.2019943,-0.0019243279,700000,0.05757
15,1089.8206722736359,0.004863835,12.666708,834.0,0.0004835049,0.9076799601316452,150000,630,0.12766099999999997,-0.0016379126,750000,0.054799996
16,1169.0687050819397,0.0046948595,12.648982,834.0,0.00024590164,0.8691718876361847,160000,678,0.05193611999999998,-0.0016514431,800000,0.049750004
17,1242.7528400421143,0.004986009,12.636196,834.0,0.00014212752,0.8954396694898605,170000,625,0.09152033999999999,-0.0014903632,850000,0.055040006
18,1322.6644520759583,0.004427499,12.6223,834.0,7.559871e-05,0.9283227324485779,180000,642,0.0908152,-0.0018103141,900000,0.04311
19,1400.466582775116,0.0048676236,12.608376,834.0,5.1454917e-05,0.9332746267318726,190000,708,0.002015060000000001,-0.0017765102,950000,0.051675
20,1471.0457212924957,0.0038635263,12.59825,834.0,4.2023396e-05,0.930260106921196,200000,505,0.012003130000000002,-0.0010768896,1000000,0.032125
21,1570.0380854606628,0.0040719756,12.591823,834.0,3.464892e-05,0.9326373860239983,210000,631,0.0025436700000000013,-0.0015547837,1050000,0.035989996
22,1649.2765402793884,0.0035758459,12.579944,834.0,2.5706457e-05,0.9317580834031105,220000,647,-0.0019076499999999999,-0.0011992132,1100000,0.025535
23,1726.459008693695,0.0036898823,12.56805,834.0,3.139464e-05,0.9171354025602341,230000,657,0.011561260000000004,-0.0011855194,1150000,0.030605001
24,1802.4881670475006,0.0035663506,12.560476,834.0,2.2736152e-05,0.9292538315057755,240000,557,0.011779679999999997,-0.00060858537,1200000,0.02786
25,1892.2130103111267,0.0029898514,12.554336,834.0,3.4675548e-05,0.9242641106247902,250000,477,-0.0007252600000000004,-0.00061049324,1250000,0.019100001
26,1996.9623379707336,0.0035893496,12.546497,834.0,3.2900363e-05,0.9128074869513512,260000,473,-0.0004208800000000004,-0.0010690038,1300000,0.025950002
27,2102.5141842365265,0.0031907638,12.543825,834.0,6.529077e-05,0.7700715959072113,270000,486,0.04857232000000001,-0.00062768714,1350000,0.019565001
28,2205.277640581131,0.0033491652,12.539054,834.0,1.4891549e-05,0.8948842063546181,280000,461,0.015512850000000005,-0.0012561237,1400000,0.021705002
29,2313.5629675388336,0.0029205508,12.526963,834.0,9.3948765e-06,0.8749052733182907,290000,479,-0.0026521400000000007,-0.0010945506,1450000,0.01639
30,2417.8397328853607,0.0034375582,12.514648,834.0,8.144745e-06,0.8769144639372826,300000,359,0.0016974800000000003,-0.0011954262,1500000,0.023290003
31,2556.8400280475616,0.0030182733,12.504897,834.0,3.431176e-05,0.69746133685112,310000,453,0.037087520000000006,-0.0005871885,1550000,0.021945
32,2666.9847264289856,0.0025848367,12.499395,834.0,8.7993785e-06,0.8620569705963135,320000,423,0.00085842,-0.00077409204,1600000,0.016595
33,2784.925281763077,0.0042822845,12.494033,834.0,2.1181284e-05,0.848813384771347,330000,510,-0.00240233,-0.0010478913,1650000,0.040710002
34,2882.923134803772,0.002956918,12.48667,834.0,6.3034263e-06,0.8295068293809891,340000,477,-0.00245924,-0.0010570271,1700000,0.017495
35,2987.595294713974,0.0034242757,12.478764,834.0,6.0994797e-05,0.47941601276397705,350000,431,0.03948878000000001,-0.0005736543,1750000,0.024524998
