qf1_loss,time_elapsed,policy_loss,ent_coef_loss,total timesteps,fps,qf2_loss,eplenmean,ep_rewmean,current_lr,value_loss,entropy,mean 100 episode reward,n_updates,episodes,ent_coef
0.32673967,19,-5.4728374,-0.014578797,1004,52,0.4002524,251.0,-11.3540515,0.00025,11.192303,11.43717,-11.4,5,4,0.9990089
0.51648796,45,-32.013,-3.8033316,2008,44,0.5237949,251.0,-9.91916475,0.00025,0.20198241,11.154865,-9.9,1009,8,0.7762163
15.615584,78,-48.597992,-7.631528,3012,38,15.652284,251.0,-10.506865500000002,0.00025,0.060644336,11.557531,-10.5,2013,12,0.6038693
0.5048649,104,-60.024017,-11.228987,4016,38,0.49316633,251.0,-9.138750625,0.00025,0.08491996,11.155546,-9.1,3017,16,0.47004372
2.162801,133,-67.66725,-14.906751,5020,37,1.4197307,251.0,-9.640080450000001,0.00025,0.11913007,10.642372,-9.6,4021,20,0.3662817
0.2960792,161,-72.29399,-18.459856,6024,37,0.29441202,251.0,-9.965814125,0.00025,0.094893,11.064844,-10.0,5025,24,0.28543636
2.4831405,190,-74.85039,-21.178139,7028,36,1.391179,251.0,-9.863314571428571,0.00025,0.11087297,11.022045,-9.9,6029,28,0.22254619
1.1471326,219,-75.616806,-24.42387,8032,36,1.0767446,251.0,-10.489531,0.00025,0.0887803,10.766933,-10.5,7033,32,0.17383046
0.44298637,248,-75.270874,-27.85294,9036,36,0.49891323,251.0,-10.863455,0.00025,0.056979906,10.498242,-10.9,8037,36,0.13582936
1.913235,271,-74.50659,-30.695778,10040,36,1.3977119,251.0,-11.512950725,0.00025,0.07671785,10.66563,-11.5,9041,40,0.10613108
0.4864311,295,-72.704865,-33.03366,11044,37,0.56577945,251.0,-11.790474068181817,0.00025,0.06337683,10.55309,-11.8,10045,44,0.08296505
2.087583,314,-69.975525,-33.61161,12048,38,1.84841,251.0,-12.1013150625,0.00025,0.15899868,9.625204,-12.1,11049,48,0.06491469
0.45069972,333,-68.22619,-38.2371,13052,39,0.54495394,251.0,-12.012706923076923,0.00025,0.05062015,10.101284,-12.0,12053,52,0.05080258
0.46597558,353,-66.11249,-41.580536,14056,39,0.571753,251.0,-11.825889357142858,0.00025,0.015058944,9.980139,-11.8,13057,56,0.03972147
0.89465666,371,-62.27525,-41.313744,15060,40,0.97907996,251.0,-12.007414466666667,0.00025,0.07934202,9.427721,-12.0,14061,60,0.031075252
17.334587,394,-60.4343,-46.660927,16064,40,17.693523,251.0,-11.86443328125,0.00025,0.036393955,10.071337,-11.9,15065,64,0.024385953
5.910243,415,-56.762535,-40.279957,17068,41,5.9547606,251.0,-12.328939367647058,0.00025,0.13486463,8.424545,-12.3,16069,68,0.019144237
14.571255,436,-55.335533,-47.754757,18072,41,17.216236,251.0,-12.539967402777778,0.00025,0.20953059,9.146096,-12.5,17073,72,0.01508399
1.0079962,459,-52.63961,-47.501354,19076,41,1.162507,251.0,-12.708939618421052,0.00025,0.11686944,8.13502,-12.7,18077,76,0.011903594
0.6286553,478,-49.867413,-45.58016,20080,41,0.6648618,251.0,-12.668859225,0.00025,0.08141689,8.095877,-12.7,19081,80,0.009361607
8.295847,500,-47.002655,-34.1604,21084,42,20.443708,251.0,-12.80949048809524,0.00025,0.61421704,7.1018662,-12.8,20085,84,0.0074083465
0.35906178,520,-45.221107,-42.130165,22088,42,0.35568792,251.0,-12.799538897727272,0.00025,0.08356371,7.4040117,-12.8,21089,88,0.005831471
2.5239403,541,-41.9051,-31.350857,23092,42,2.9803188,251.0,-12.832882043478262,0.00025,0.08670463,6.1266007,-12.8,22093,92,0.004595696
0.5546007,561,-40.718765,-33.093716,24096,42,0.54003596,251.0,-12.663129895833334,0.00025,0.18738987,6.5504704,-12.7,23097,96,0.0036480392
1.2967805,584,-39.419388,-53.663254,25100,42,1.4010613,251.0,-12.657100930000002,0.00025,0.04919519,8.946596,-12.7,24101,100,0.002883527
0.47993627,607,-36.68901,-40.127697,26104,42,0.537153,251.0,-12.96368983,0.00025,0.065075874,7.55519,-13.0,25105,104,0.0022871208
0.42820138,630,-35.772095,-50.493244,27108,42,0.43388742,251.0,-13.259262839999998,0.00025,0.020146657,7.851463,-13.3,26109,108,0.0018181573
0.28426832,657,-33.872456,-45.240776,28112,42,0.30413467,251.0,-13.409511859999999,0.00025,0.020960655,7.0077276,-13.4,27113,112,0.0014523524
1.3676252,681,-32.190407,-42.48107,29116,42,1.4892704,251.0,-13.716686570000002,0.00025,0.096208766,7.1752887,-13.7,28117,116,0.0011715007
0.37088078,702,-30.057743,-31.972517,30120,42,0.33652604,251.0,-13.776115499999998,0.00025,0.2021105,6.043101,-13.8,29121,120,0.00096457417
2.916284,727,-28.285458,-25.369152,31124,42,2.9941895,251.0,-13.864658660000002,0.00025,0.5437832,5.0618443,-13.9,30125,124,0.0007903882
0.7839041,748,-27.08601,-12.806034,32128,42,0.67833793,251.0,-13.90834479,0.00025,0.37793785,3.9169333,-13.9,31129,128,0.00065347634
1.686503,770,-25.575277,13.320622,33132,42,1.6629789,251.0,-13.600993899999999,0.00025,0.19909869,4.646626,-13.6,32133,132,0.000586987
0.49677634,789,-24.36867,74.504776,34136,43,0.50005174,251.0,-13.45810865,0.00025,0.210737,-0.767597,-13.5,33137,136,0.0006500248
0.38091445,806,-23.271126,48.378178,35140,43,0.34894305,251.0,-12.980383789999998,0.00025,0.2240197,1.6436017,-13.0,34141,140,0.0009241522
0.30295992,831,-22.10731,25.221611,36144,43,0.317191,251.0,-12.83721707,0.00025,0.02720993,1.8556159,-12.8,35145,144,0.0011073895
0.33120114,850,-21.081245,4.0440955,37148,43,0.3254365,251.0,-12.70188342,0.00025,0.12946217,2.904152,-12.7,36149,148,0.0011574664
1.0265864,869,-19.841938,22.137857,38152,43,1.0255127,251.0,-12.588279009999999,0.00025,0.05610492,0.46862608,-12.6,37153,152,0.0011299913
0.30360478,888,-18.90654,18.614504,39156,44,0.32239056,251.0,-12.574359190000001,0.00025,0.053498946,3.3490632,-12.6,38157,156,0.0014523378
0.28181285,909,-18.057724,-8.531113,40160,44,0.27963665,251.0,-12.339389760000001,0.00025,0.07603447,4.696389,-12.3,39161,160,0.0017045015
0.3768648,927,-16.816122,-2.7885427,41164,44,0.38794655,251.0,-12.271709750000003,0.00025,0.08083507,5.0123525,-12.3,40165,164,0.0017680944
0.5120057,949,-15.864729,-8.61352,42168,44,0.5370208,251.0,-11.756045570000001,0.00025,0.045500185,4.8177977,-11.8,41169,168,0.0016276786
0.28666085,974,-14.977439,-6.621971,43172,44,0.3181082,251.0,-11.645144770000003,0.00025,0.06226021,3.4082892,-11.6,42173,172,0.0013957683
0.25325227,994,-14.394584,-11.5502205,44176,44,0.22437373,251.0,-11.221844630000003,0.00025,0.021341637,4.1123543,-11.2,43177,176,0.0012153094
0.35550657,1015,-13.5672035,3.0351005,45180,44,0.3879773,251.0,-11.234660759999999,0.00025,0.050543435,2.3002477,-11.2,44181,180,0.0010277767
