#{"t_start": 1745339025.690082, "env_id": null}
r,l,t
0.000985,834,7.313306
0.00031,834,17.649304
-0.000286,834,27.754309
-0.000308,834,37.950308
-0.000453,834,49.254306
0.001059,834,59.562309
2.56187,834,71.224308
-0.001525,834,82.204308
-0.00083,834,94.087294
-0.00105,834,107.326366
-0.001744,834,120.059365
0.000273,834,132.22911
0.000173,834,145.136638
0.00013,834,157.148638
-0.002146,834,170.469846
-0.002505,834,185.63437
-0.002201,834,197.831599
-0.003561,834,209.061601
-0.002056,834,220.802669
-0.003259,834,233.878779
-0.002761,834,245.391927
0.017268,834,257.120071
-0.001508,834,270.327477
-0.002607,834,284.715284
-0.003532,834,297.066282
-0.001964,834,309.720022
-0.002506,834,321.14509
-0.004196,834,333.07909
0.431998,834,345.411942
-0.00463,834,356.701952
-0.001691,834,369.425946
0.000573,834,387.236176
-0.004585,834,399.5684
-0.00286,834,411.085399
-0.0036,834,422.060398
-0.00371,834,433.866394
-0.002474,834,447.998819
-0.003421,834,461.081589
-0.00167,834,473.922267
-0.003223,834,487.475269
-0.003166,834,499.763384
-0.002846,834,511.927384
-0.003462,834,526.314074
-0.003054,834,538.497469
-0.002783,834,550.987469
-0.002403,834,562.980343
-0.001908,834,574.559346
-0.002101,834,587.208039
-0.003104,834,600.191754
-0.002744,834,611.884048
-0.003022,834,622.910121
-0.001334,834,634.03012
-0.003219,834,644.815119
-0.003649,834,655.611115
-0.003725,834,669.779192
-0.003722,834,680.50926
-0.003516,834,691.040148
-0.002841,834,700.979176
-0.002717,834,711.05924
-0.002185,834,720.895155
-0.003709,834,732.394269
-0.00303,834,742.401327
-0.001665,834,753.389603
-0.003229,834,765.816547
-0.004095,834,782.528224
-0.003389,834,793.387723
-0.004087,834,805.989466
-0.003799,834,819.32216
-0.004312,834,831.759333
-0.003235,834,845.239197
-0.003597,834,855.994678
-0.002346,834,867.794354
-0.003107,834,878.699379
-0.004004,834,890.079475
-0.004281,834,903.284438
-0.002428,834,918.385216
-0.002869,834,935.82954
-0.003203,834,948.759279
-0.003418,834,960.859316
-0.003438,834,972.483454
-0.001129,834,983.44491
-0.003478,834,994.509662
-0.00312,834,1005.414444
-0.002513,834,1017.907812
-0.000707,834,1030.989776
-0.002829,834,1042.180581
-0.002165,834,1052.414602
-0.001359,834,1063.509722
-0.004766,834,1073.80442
-0.001141,834,1084.709453
-0.002089,834,1096.419797
-0.002622,834,1108.844946
-0.002526,834,1118.904406
-0.004317,834,1130.059718
-0.00349,834,1141.303509
-0.004466,834,1154.669629
-0.000638,834,1168.541667
-0.004817,834,1181.477983
-0.002013,834,1192.613549
-0.003325,834,1204.174925
-0.00425,834,1216.024877
-0.001261,834,1228.584716
-0.004971,834,1240.934822
-0.002289,834,1253.019731
-0.004431,834,1266.938649
-0.000329,834,1284.41485
-0.002552,834,1295.974956
-0.002994,834,1306.409945
-0.002479,834,1317.11471
-0.001949,834,1327.469697
-0.003591,834,1337.844867
-0.00308,834,1348.239592
-0.003021,834,1358.789609
-0.002392,834,1369.717356
-0.001937,834,1383.33447
0.999199,834,1397.219625
-0.001811,834,1409.395308
-0.003759,834,1421.729929
-0.002139,834,1433.265065
-0.002117,834,1483.025133
-0.002676,834,1499.158422
-0.001693,834,1512.049236
-0.00282,834,1522.924571
-0.001773,834,1534.679006
-0.001637,834,1547.139764
-0.002206,834,1559.419086
-0.00496,834,1570.914931
-0.001935,834,1583.404849
-0.001448,834,1595.926946
-0.002685,834,1609.596117
-0.004428,834,1626.534691
-0.003316,834,1641.4383
-0.001985,834,1653.474931
-0.003978,834,1664.520277
-0.002601,834,1675.467509
-0.002333,834,1688.090076
0.358583,834,1698.689752
-0.002462,834,1709.995534
-0.004136,834,1722.060066
-0.001525,834,1736.774772
-0.002263,834,1748.874461
1.296698,834,1760.427475
-0.002315,834,1772.77391
0.178753,834,1785.89494
-0.004237,834,1798.61025
-0.003081,834,1810.391278
-0.003573,834,1826.402223
-0.001775,834,1839.706728
-0.002296,834,1852.254732
-0.001507,834,1862.567972
-0.00272,834,1872.515109
-0.002696,834,1882.484777
1.619997,834,1891.851026
-0.003584,834,1903.870138
-0.00242,834,1914.399709
-0.001433,834,1925.200067
-0.002769,834,1936.787836
-0.001255,834,1948.427073
-0.004832,834,1960.524014
-0.002458,834,1972.993294
-0.002016,834,1985.441936
-0.001409,834,1997.282867
-0.001891,834,2009.029923
-0.002421,834,2019.749819
-0.003243,834,2031.526718
-0.00256,834,2045.970258
-0.001027,834,2057.714824
-0.002008,834,2069.452592
1.051133,834,2081.794852
-0.001618,834,2095.850637
-0.002494,834,2107.019875
-0.002748,834,2119.39191
-0.002017,834,2133.157883
-0.005258,834,2148.030908
-0.002268,834,2161.705109
-0.001852,834,2174.885206
-0.003854,834,2190.090271
-0.003412,834,2200.455163
-0.002084,834,2210.745116
-0.004547,834,2220.975341
0.129119,834,2231.580157
-0.003687,834,2242.010015
-0.003236,834,2254.891814
-0.005366,834,2266.165246
-0.003119,834,2277.33022
-0.003431,834,2288.555152
-0.000938,834,2299.055004
-0.001979,834,2309.345085
-0.004176,834,2319.372865
-0.003676,834,2332.685878
0.213679,834,2343.86784
-0.002112,834,2356.497205
-0.002824,834,2370.634477
-0.001178,834,2382.850135
-0.001617,834,2395.373479
-0.004236,834,2407.279634
-0.002949,834,2419.028157
-0.003295,834,2432.058205
-0.000322,834,2444.657657
-0.002187,834,2457.375308
-0.003441,834,2470.98224
-0.004387,834,2484.028093
-0.002265,834,2496.246243
-0.002692,834,2510.097965
-0.002276,834,2521.653045
-0.003005,834,2533.051112
-0.003004,834,2544.754109
-0.002615,834,2555.642112
-0.002812,834,2566.384112
-0.001861,834,2578.781113
-0.000714,834,2590.480115
0.66565,834,2601.014112
-0.001019,834,2611.618113
-0.00316,834,2622.053113
-0.001777,834,2632.568114
0.891469,834,2643.240113
-0.002665,834,2654.107112
-0.001279,834,2664.983114
0.323891,834,2677.22765
-0.003161,834,2688.088648
-0.002765,834,2698.248648
-0.003173,834,2708.83865
-0.001116,834,2719.959651
-0.002294,834,2731.378175
-0.003426,834,2741.928178
-0.00335,834,2753.490705
-0.001829,834,2764.071709
-0.002833,834,2774.865711
-0.004451,834,2786.885708
-0.001768,834,2797.564706
-0.004157,834,2808.378707
-0.003454,834,2818.911709
-0.001863,834,2830.899234
0.267215,834,2841.723233
-0.003643,834,2852.30123
-0.00306,834,2863.209236
-0.002931,834,2874.139232
-0.005062,834,2886.313232
