#{"t_start": 1745342226.0906324, "env_id": null}
r,l,t
0.001183,834,6.050141
-0.000129,834,19.018758
0.000429,834,29.764032
-0.000865,834,41.225317
0.000602,834,51.285036
-0.000485,834,61.560117
-7.4e-05,834,71.435144
0.000227,834,82.513027
0.001327,834,95.491864
0.000279,834,111.599327
0.00029,834,127.246248
-0.000339,834,138.69438
-0.002874,834,151.075129
-0.001249,834,162.766947
-0.001666,834,174.805134
-0.002358,834,185.544995
-0.001899,834,196.185451
-0.001533,834,207.555
-0.001665,834,221.720152
-0.001447,834,234.318037
-0.001282,834,247.296563
-0.002404,834,259.729967
-0.001728,834,272.247643
-0.001801,834,284.52991
-0.00248,834,297.268856
-0.001556,834,311.064983
-0.002812,834,323.355156
-0.002019,834,334.939949
-0.003347,834,347.422879
-0.001988,834,359.530135
-0.002059,834,371.555091
-0.002476,834,384.41502
-0.002632,834,394.81005
-0.003282,834,406.615267
-0.002659,834,419.915147
-0.002627,834,431.290268
-0.002071,834,442.425565
-0.002582,834,453.655272
-0.001437,834,464.5706
-0.002081,834,475.253608
0.00199,834,486.453154
-0.001363,834,498.33019
-0.00251,834,513.490389
-0.00273,834,526.580331
-0.002554,834,539.920595
-0.002114,834,552.265363
-0.002099,834,563.47553
-0.002483,834,575.90374
-0.002345,834,589.240963
-0.001354,834,600.405232
-0.001509,834,614.145192
-0.002869,834,626.220478
-0.003111,834,638.105364
-0.002692,834,649.984951
-0.002283,834,661.66035
-0.003583,834,673.78545
-0.002526,834,686.285212
-0.002616,834,699.700115
-0.002663,834,712.400363
-0.001313,834,727.335422
-0.001922,834,741.59543
-0.001309,834,756.496195
0.000549,834,771.507486
-0.003771,834,790.322959
-0.004663,834,805.865454
-0.004642,834,822.930368
-0.00478,834,839.395585
-0.004399,834,856.351086
-0.004467,834,873.366316
-0.002552,834,890.089428
-0.003604,834,905.971755
-0.003229,834,921.951996
-0.003026,834,938.002545
-0.002507,834,952.544561
-0.002272,834,967.761435
-0.002711,834,979.951771
-0.001899,834,995.816893
-0.002418,834,1007.965578
-0.002753,834,1018.935571
-0.001649,834,1030.304574
-0.001711,834,1041.379575
-0.002656,834,1052.673241
-0.004269,834,1064.726763
-0.002509,834,1075.753762
-0.002332,834,1088.44265
-0.002784,834,1099.886401
-0.003076,834,1111.187685
-0.003037,834,1122.829687
-0.001367,834,1132.902687
-0.003249,834,1143.630691
-0.00065,834,1155.269898
-0.003882,834,1168.963875
-0.000851,834,1180.382879
-0.00224,834,1191.352422
-0.003977,834,1203.267805
-0.002532,834,1213.907817
-0.003261,834,1224.356803
-0.003208,834,1238.010897
-0.003541,834,1248.144898
-0.00381,834,1258.117182
-0.003363,834,1268.222177
-0.003668,834,1280.155961
-0.003641,834,1292.054425
-0.003241,834,1303.556917
-0.003653,834,1314.699029
-0.004552,834,1326.39146
-0.00271,834,1338.031391
-0.004128,834,1352.678694
-0.004284,834,1364.798436
-0.000699,834,1377.082528
-0.002774,834,1387.610528
-0.003572,834,1398.763527
-0.002793,834,1409.156934
-0.002231,834,1419.11293
-0.003451,834,1432.676584
-0.002598,834,1445.091233
-0.003233,834,1455.563236
-0.002396,834,1467.790239
-0.002146,834,1479.689397
-0.002294,834,1518.794397
-0.00323,834,1532.187398
-0.003555,834,1543.305884
-0.003477,834,1553.489432
-0.001068,834,1563.916089
-0.003033,834,1574.945889
-0.002379,834,1585.415987
-0.002456,834,1596.550885
-0.003498,834,1608.491986
-0.002809,834,1618.790237
-0.00333,834,1629.066084
-0.002752,834,1639.440879
-0.003046,834,1652.585137
-0.002209,834,1664.080748
-0.001176,834,1679.371879
-0.002548,834,1691.394933
-0.001589,834,1702.377324
-0.002785,834,1713.650983
-0.001692,834,1725.036565
-0.001419,834,1736.355979
-0.002232,834,1748.592345
-0.002264,834,1760.25308
-0.003491,834,1771.581038
-0.002194,834,1784.090659
-0.002508,834,1796.246575
-0.003619,834,1808.476383
-0.003057,834,1820.697793
-0.001718,834,1832.575744
-0.001774,834,1844.512323
-0.003388,834,1855.725887
-0.002043,834,1866.216192
-0.001584,834,1878.169238
-0.002294,834,1891.34386
-0.002617,834,1902.757411
-0.003263,834,1914.361408
-0.003003,834,1927.025795
-0.00205,834,1937.985995
0.038579,834,1950.364933
-0.003407,834,1961.838734
-0.001388,834,1974.231189
-0.001335,834,1985.815188
-0.002367,834,1997.663899
-0.002622,834,2013.168431
-0.001486,834,2027.865722
-0.003324,834,2039.786742
-0.002096,834,2051.425942
-0.001737,834,2063.106213
-0.00238,834,2075.56185
-0.003795,834,2086.441002
-0.001606,834,2097.27782
-0.001551,834,2108.73262
0.098176,834,2120.196991
-0.002597,834,2131.641045
-0.003341,834,2144.739205
-0.002207,834,2156.046261
-0.003387,834,2167.073039
-0.000918,834,2179.176307
-0.001783,834,2190.146135
-0.00291,834,2200.951428
-0.002538,834,2211.486061
-0.001752,834,2227.82205
-0.00208,834,2241.955577
-0.002276,834,2260.366111
-0.002864,834,2288.518142
2.191629,834,2305.278359
-0.003009,834,2325.380512
-0.001847,834,2340.047994
-0.002954,834,2356.863641
-0.002585,834,2370.203157
-0.001015,834,2382.466851
0.000567,834,2393.881961
-0.002232,834,2405.499379
-0.001225,834,2415.563097
-0.003826,834,2426.392291
-0.002705,834,2436.288445
-0.003393,834,2447.631357
-0.004591,834,2457.791049
-0.002211,834,2467.845151
-0.004567,834,2478.732944
-0.002312,834,2489.292876
-0.001626,834,2499.453663
-0.002464,834,2509.813287
-0.002908,834,2521.426352
-0.003215,834,2532.055501
-0.003997,834,2542.415865
-0.001435,834,2552.859515
-0.001963,834,2563.827515
-0.003385,834,2575.264042
-0.001329,834,2585.507364
-0.003095,834,2597.759833
-0.00202,834,2608.740124
-0.004711,834,2618.631311
-0.002563,834,2628.353373
-0.003275,834,2638.809905
-0.000293,834,2648.797747
-0.002496,834,2658.979751
-0.002334,834,2668.866488
-0.003245,834,2679.347923
-0.003491,834,2689.34403
-0.001975,834,2699.839656
-0.001593,834,2709.680626
-0.003684,834,2719.753881
-0.003236,834,2729.932219
-0.002322,834,2740.387923
-0.004905,834,2752.402977
-0.004157,834,2763.462713
-0.003,834,2774.037617
-0.00148,834,2785.838588
-0.003784,834,2795.670498
-0.003842,834,2805.34577
-0.002274,834,2815.179894
-0.002529,834,2824.941053
5.898591,834,2835.069548
-0.00329,834,2845.667257
-0.002956,834,2855.8428
-0.002943,834,2866.248634
-0.002999,834,2876.404316
-0.002704,834,2887.171158
-0.004,834,2897.620873
-0.001996,834,2907.84368
-0.004081,834,2943.172097
-0.004076,834,2953.652522
-0.002831,834,2963.774092
-0.001907,834,2973.913167
-0.004025,834,2984.33059
-0.003595,834,2995.16987
-0.000959,834,3007.851238
-0.00436,834,3018.217312
-0.003752,834,3029.344281
-0.003858,834,3040.03029
-0.000702,834,3050.605024
-0.002036,834,3061.199534
-0.002312,834,3072.2627
-0.003304,834,3084.066601
-0.002433,834,3095.268056
-0.001623,834,3105.423326
-0.001228,834,3115.555423
-0.001577,834,3125.670266
-0.002269,834,3135.941467
-0.001372,834,3146.509306
-0.001459,834,3156.685914
-0.002319,834,3166.616422
-0.001186,834,3177.167234
-0.002871,834,3187.488705
-0.001746,834,3197.774871
-0.0015,834,3208.451854
0.942983,834,3218.782487
-0.001333,834,3228.762105
-0.000821,834,3239.20514
-0.001072,834,3249.177717
-0.002139,834,3259.891036
-0.001316,834,3270.750471
-0.00179,834,3281.128909
0.055772,834,3291.252167
-0.003528,834,3301.489022
-0.000978,834,3311.908982
-0.001495,834,3321.99713
-0.001901,834,3332.283796
-0.002513,834,3342.92481
-0.001165,834,3353.313829
-0.002426,834,3363.53738
-0.002367,834,3374.557132
-0.002643,834,3385.296288
-0.003277,834,3395.459915
-0.003393,834,3405.068913
0.076378,834,3415.361103
-0.002164,834,3424.984198
-0.00437,834,3435.146775
-0.001735,834,3445.722762
-0.005005,834,3455.917385
0.901026,834,3466.181905
-0.002703,834,3476.889797
-0.003862,834,3487.166409
-0.002703,834,3497.75212
-0.000891,834,3508.369228
0.011848,834,3518.799252
-0.002244,834,3529.070325
0.12868,834,3539.491816
-0.001247,834,3549.983521
-0.001589,834,3560.617871
-0.002992,834,3571.081622
-0.001403,834,3581.550419
-0.002549,834,3592.435252
-0.001805,834,3602.868725
-0.001338,834,3613.300345
-0.001122,834,3623.654908
-0.003027,834,3634.039899
-0.002821,834,3644.106389
-0.001538,834,3654.555759
-0.003011,834,3664.696241
-0.004423,834,3674.774963
-0.001457,834,3684.926414
-0.004159,834,3694.972374
-0.001424,834,3705.161317
-0.001136,834,3715.47074
-0.001814,834,3726.404552
-0.001401,834,3736.546301
-0.000645,834,3746.640018
-0.004191,834,3756.270461
-0.003193,834,3766.021258
6.471941,834,3775.823819
7.825856,834,3785.659469
0.015191,834,3795.636121
-0.001704,834,3805.421358
-0.002122,834,3816.119184
-0.002209,834,3826.286235
1.7479,834,3836.463658
-0.003465,834,3847.219337
-0.002931,834,3857.681015
-0.001969,834,3867.598023
-0.002297,834,3878.026457
-0.001932,834,3888.698476
-0.002229,834,3899.30542
-0.000951,834,3909.777709
-0.003827,834,3919.915224
-0.002841,834,3929.636394
-0.001804,834,3939.709221
-0.002896,834,3949.435673
-0.003124,834,3959.202906
3.772822,834,3968.951267
-0.002567,834,3978.73782
-0.002169,834,3988.35211
-0.003151,834,3997.966211
-0.001478,834,4007.871526
-0.002776,834,4017.513473
-0.002338,834,4027.239661
-0.003005,834,4037.059468
-0.002146,834,4047.049148
-0.003882,834,4057.188389
-0.003465,834,4066.738584
0.113766,834,4076.518618
-0.002601,834,4086.481991
-0.003027,834,4096.339988
-0.003588,834,4105.947104
-0.003922,834,4115.638193
-0.00346,834,4125.381928
-0.004734,834,4135.345559
-0.003698,834,4145.747919
0.479526,834,4155.283243
-0.002707,834,4164.816988
-0.002218,834,4195.50543
-0.003703,834,4205.573897
-0.004164,834,4215.329144
-0.002188,834,4225.097884
1.83126,834,4235.248008
-0.002895,834,4245.05
-0.001693,834,4254.729046
-0.003141,834,4264.649957
-0.002739,834,4274.485259
-0.003118,834,4284.569066
2.045023,834,4294.168929
-0.000869,834,4304.847439
-0.002638,834,4315.244146
-0.00179,834,4325.062016
-0.002149,834,4335.012708
-0.003272,834,4345.539938
0.010918,834,4355.413298
-0.001392,834,4365.412318
-0.000713,834,4375.5627
-0.002675,834,4385.134713
-0.003652,834,4395.464242
-0.00178,834,4405.478626
-0.001332,834,4415.566806
-0.003094,834,4425.373386
0.064989,834,4435.680006
0.006218,834,4446.126993
0.093159,834,4456.141339
-0.006197,834,4466.193743
-0.005547,834,4476.215627
-0.002089,834,4486.54464
